Date,equity
2019-08-21,1092003.0500345167
2019-08-22,1092003.0500345167
2019-08-23,1092003.0500345167
2019-08-26,1092003.0500345167
2019-08-27,1092003.0500345167
2019-08-28,1092003.0500345167
2019-08-29,1092003.0500345167
2019-08-30,1092003.0500345167
2019-09-03,1092003.0500345167
2019-09-04,1092003.0500345167
2019-09-05,1092003.0500345167
2019-09-06,1092003.0500345167
2019-09-09,1092003.0500345167
2019-09-11,1092003.0500345167
2019-09-12,1092003.0500345167
2019-09-13,1092003.0500345167
2019-09-16,1092003.0500345167
2019-09-17,1092003.0500345167
2019-09-18,1092003.0500345167
2019-09-19,1092003.0500345167
2019-09-20,1092003.0500345167
2019-09-23,1092003.0500345167
2019-09-24,1092003.0500345167
2019-09-25,1092003.0500345167
2019-09-26,1092003.0500345167
2019-09-27,1092003.0500345167
2019-09-30,1092003.0500345167
2019-10-01,1092003.0500345167
2019-10-03,1091347.848204496
2019-10-04,1080830.6473027784
2019-10-07,1068218.5525154336
2019-10-09,1084934.946976293
2019-10-10,1079058.0979646135
2019-10-11,1095544.556361477
2019-10-14,1102855.8674634276
2019-10-15,1119667.1192109056
2019-10-16,1117265.3068178769
2019-10-17,1128140.6503148153
2019-10-18,1137758.4254664846
2019-10-22,1144809.6428480153
2019-10-23,1145507.1491887772
2019-10-24,1138440.6922898346
2019-10-25,1141162.286950402
2019-10-27,1144061.562593174
2019-10-29,1165088.2374170218
2019-10-30,1164114.429926069
2019-10-31,1159008.5312126474
2019-11-01,1162624.0838390188
2019-11-04,1166827.2584846138
2019-11-05,1165856.8746825035
2019-11-06,1172659.508237792
2019-11-07,1175366.2538280024
2019-11-08,1168556.7505296932
2019-11-11,1172351.8586442007
2019-11-13,1151932.3869852629
2019-11-14,1152669.8245210003
2019-11-15,1146240.2134553606
2019-11-18,1147071.0529378895
2019-11-19,1151329.1753635847
2019-11-20,1164676.193958957
2019-11-21,1159301.290035799
2019-11-22,1153437.4506792896
2019-11-25,1161641.575751055
2019-11-26,1158955.0938029715
2019-11-27,1159302.9843432745
2019-11-28,1165137.9528191388
2019-11-29,1162391.2236809833
2019-12-02,1156298.6156431993
2019-12-03,1142537.610641789
2019-12-04,1141801.6693043949
2019-12-05,1143552.8317355851
2019-12-06,1130897.9378423505
2019-12-09,1135146.9344490634
2019-12-10,1131779.4224843436
2019-12-11,1136035.1186050868
2019-12-12,1143729.5729116248
2019-12-13,1148297.9648695777
2019-12-16,1144542.6190614619
2019-12-17,1152172.9713062916
2019-12-18,1160631.0251922898
2019-12-19,1162401.1672196928
2019-12-20,1167554.4240774212
2019-12-23,1167470.420904979
2019-12-24,1161491.399489993
2019-12-26,1158231.6873022455
2019-12-27,1167853.9469356546
2019-12-30,1170319.4167286153
2019-12-31,1163145.0963180165
2020-01-01,1162593.7117138393
2020-01-02,1168499.7175953172
2020-01-03,1162647.3353474364
2020-01-06,1146944.4308289923
2020-01-07,1152475.6492467392
2020-01-08,1150282.4827648252
2020-01-09,1162610.650212987
2020-01-10,1168836.9072352715
2020-01-13,1179915.8979742543
2020-01-14,1183211.4073628362
2020-01-15,1184441.4827953426
2020-01-16,1191021.956531916
2020-01-17,1195444.9694621596
2020-01-20,1198741.7872221153
2020-01-21,1191820.0081053895
2020-01-22,1188494.2555748424
2020-01-23,1205039.707384879
2020-01-24,1207147.3877381207
2020-01-27,1196071.80018224
2020-01-28,1190002.5443326868
2020-01-29,1195882.667150987
2020-01-30,1189105.636354962
2020-01-31,1172829.5986968318
2020-02-03,1170825.5782050092
2020-02-04,1188592.2745443897
2020-02-05,1200616.126830822
2020-02-06,1208961.4966735572
2020-02-07,1204201.9920749122
2020-02-10,1184571.826875846
2020-02-11,1191643.1917447727
2020-02-12,1188926.4792109444
2020-02-13,1180701.9581044705
2020-02-14,1174662.8628664892
2020-02-17,1158792.6496613857
2020-02-18,1157575.2453493688
2020-02-19,1168917.9684370996
2020-02-20,1168696.9657650802
2020-02-24,1138926.8083804974
2020-02-25,1129055.868075578
2020-02-26,1114577.8712305038
2020-02-27,1111513.7781639213
2020-02-28,1075974.03696749
2020-03-02,1056704.379722073
2020-03-03,1088573.1935907155
2020-03-04,1088573.1935907155
2020-03-05,1088573.1935907155
2020-03-06,1088573.1935907155
2020-03-09,1088573.1935907155
2020-03-11,1088573.1935907155
2020-03-12,1088573.1935907155
2020-03-13,1088573.1935907155
2020-03-16,1088573.1935907155
2020-03-17,1088573.1935907155
2020-03-18,1088573.1935907155
2020-03-19,1088573.1935907155
2020-03-20,1088573.1935907155
2020-03-23,1088573.1935907155
2020-03-24,1088573.1935907155
2020-03-25,1088573.1935907155
2020-03-26,1088573.1935907155
2020-03-27,1088573.1935907155
2020-03-30,1088573.1935907155
2020-03-31,1088573.1935907155
2020-04-01,1088573.1935907155
2020-04-03,1088573.1935907155
2020-04-07,1088573.1935907155
2020-04-08,1088573.1935907155
2020-04-09,1088573.1935907155
2020-04-13,1088573.1935907155
2020-04-15,1088573.1935907155
2020-04-16,1088573.1935907155
2020-04-17,1088573.1935907155
2020-04-20,1088573.1935907155
2020-04-21,1088573.1935907155
2020-04-22,1088573.1935907155
2020-04-23,1088573.1935907155
2020-04-24,1088573.1935907155
2020-04-27,1088573.1935907155
2020-04-28,1088573.1935907155
2020-04-29,1088573.1935907155
2020-04-30,1088573.1935907155
2020-05-04,1088573.1935907155
2020-05-05,1088573.1935907155
2020-05-06,1088573.1935907155
2020-05-07,1088573.1935907155
2020-05-08,1088573.1935907155
2020-05-11,1088573.1935907155
2020-05-12,1088573.1935907155
2020-05-13,1088573.1935907155
2020-05-14,1088573.1935907155
2020-05-15,1088573.1935907155
2020-05-18,1088573.1935907155
2020-05-19,1088573.1935907155
2020-05-20,1088573.1935907155
2020-05-21,1088573.1935907155
2020-05-22,1088573.1935907155
2020-05-26,1088573.1935907155
2020-05-27,1088573.1935907155
2020-05-28,1088573.1935907155
2020-05-29,1088573.1935907155
2020-06-01,1088573.1935907155
2020-06-02,1088573.1935907155
2020-06-03,1088573.1935907155
2020-06-04,1088573.1935907155
2020-06-05,1088573.1935907155
2020-06-08,1088573.1935907155
2020-06-09,1088573.1935907155
2020-06-10,1088573.1935907155
2020-06-11,1088573.1935907155
2020-06-12,1088573.1935907155
2020-06-15,1088573.1935907155
2020-06-16,1088573.1935907155
2020-06-17,1088573.1935907155
2020-06-18,1088573.1935907155
2020-06-19,1088573.1935907155
2020-06-22,1088573.1935907155
2020-06-23,1088573.1935907155
2020-06-24,1088573.1935907155
2020-06-25,1088573.1935907155
2020-06-26,1088573.1935907155
2020-06-29,1088573.1935907155
2020-06-30,1088573.1935907155
2020-07-01,1088573.1935907155
2020-07-02,1088573.1935907155
2020-07-03,1088573.1935907155
2020-07-06,1088573.1935907155
2020-07-07,1088573.1935907155
2020-07-08,1088573.1935907155
2020-07-09,1088573.1935907155
2020-07-10,1088573.1935907155
2020-07-13,1088573.1935907155
2020-07-14,1088573.1935907155
2020-07-15,1088573.1935907155
2020-07-16,1088573.1935907155
2020-07-17,1088573.1935907155
2020-07-20,1088573.1935907155
2020-07-21,1088573.1935907155
2020-07-22,1088573.1935907155
2020-07-23,1088573.1935907155
2020-07-24,1088573.1935907155
2020-07-27,1088573.1935907155
2020-07-28,1088573.1935907155
2020-07-29,1088573.1935907155
2020-07-30,1088573.1935907155
2020-07-31,1088573.1935907155
2020-08-03,1088573.1935907155
2020-08-04,1087920.049674561
2020-08-05,1090963.1921613736
2020-08-06,1100953.2687382787
2020-08-07,1117192.6029573667
2020-08-10,1115631.521423708
2020-08-11,1120331.3274708749
2020-08-12,1124352.8193732547
2020-08-13,1127986.4595141911
2020-08-14,1108424.477394038
2020-08-17,1125807.4683210375
2020-08-18,1138260.3604247023
2020-08-19,1141412.5297977638
2020-08-20,1134797.4063873738
2020-08-21,1148187.9552774928
2020-08-24,1156371.173775808
2020-08-25,1170995.988961075
2020-08-26,1180959.3593547517
2020-08-27,1177122.63387084
2020-08-28,1189445.6491060914
2020-08-31,1149761.252123194
2020-09-01,1162448.2202576809
2020-09-02,1160595.7712324874
2020-09-03,1170752.5104087
2020-09-04,1152840.4113810326
2020-09-07,1153581.0351699756
2020-09-08,1135646.9230710322
2020-09-09,1139708.631391872
2020-09-10,1149652.6088712055
2020-09-11,1148491.224421888
2020-09-14,1141533.8380286936
2020-09-15,1147363.127229449
2020-09-16,1158231.2243987506
2020-09-17,1158713.880039631
2020-09-18,1174039.171199825
2020-09-21,1135605.572667511
2020-09-22,1131921.996111239
2020-09-23,1119823.4021691654
2020-09-24,1103829.9149996843
2020-09-25,1132769.6832504573
2020-09-28,1143332.4979947868
2020-09-29,1131329.705368862
2020-09-30,1135265.2162653836
2020-10-01,1151954.4233199086
2020-10-05,1151828.6643783932
2020-10-06,1159298.5318741
2020-10-07,1170460.561312436
2020-10-08,1172958.1203392097
2020-10-09,1163288.6290656643
2020-10-12,1162993.0012631363
2020-10-13,1160141.924757308
2020-10-14,1158832.0608222315
2020-10-15,1148530.863267573
2020-10-16,1156604.6845841736
2020-10-19,1155328.1656419097
2020-10-20,1159895.9317469622
2020-10-21,1160728.5562402895
2020-10-22,1161969.4632457262
2020-10-23,1169636.0981573674
2020-10-26,1145596.8199313341
2020-10-27,1166688.636856609
2020-10-28,1159696.7340412065
2020-10-29,1156507.3457668063
2020-10-30,1154140.1594080075
2020-11-02,1139525.0512802422
2020-11-03,1141821.3536392367
2020-11-04,1154011.6118280697
2020-11-05,1177650.446060235
2020-11-06,1179355.877101802
2020-11-09,1186832.5617993604
2020-11-10,1155771.6811057706
2020-11-11,1185789.9437835217
2020-11-12,1179515.5522105221
2020-11-13,1192884.1734676883
2020-11-14,1196104.4346654762
2020-11-17,1199023.2844194125
2020-11-18,1196639.3065970177
2020-11-19,1187132.2910810455
2020-11-20,1205685.1251040746
2020-11-23,1223080.345974406
2020-11-24,1225570.8729669885
2020-11-25,1202596.387012264
2020-11-26,1226226.6248750293
2020-11-27,1228512.1615111083
2020-12-01,1248828.3851287167
2020-12-02,1252970.7794953585
2020-12-03,1276445.887024405
2020-12-04,1291626.283495145
2020-12-07,1290322.536073237
2020-12-08,1294753.3763061205
2020-12-09,1292820.5275081436
2020-12-10,1299896.8377471233
2020-12-11,1296780.8917185846
2020-12-14,1307013.0208953985
2020-12-15,1310666.097172507
2020-12-16,1314948.030710259
2020-12-17,1312600.3871205915
2020-12-18,1313181.5654080966
2020-12-21,1282022.9899152294
2020-12-22,1302760.3779682831
2020-12-23,1320826.3738638693
2020-12-24,1317724.4111483335
2020-12-28,1320615.5180835521
2020-12-29,1315902.9731868864
2020-12-30,1326561.743884744
2020-12-31,1324861.8527125705
2021-01-01,1330628.864008237
2021-01-04,1335019.8474169741
2021-01-05,1343972.1111366418
2021-01-06,1352216.3294712428
2021-01-07,1378866.1686227317
2021-01-08,1389404.6213300664
2021-01-11,1385646.7574004836
2021-01-12,1395459.2019812786
2021-01-13,1419651.2062339864
2021-01-14,1419238.0651329136
2021-01-15,1412766.8585567756
2021-01-18,1382725.6298312303
2021-01-19,1412351.7386304133
2021-01-20,1431805.4356892495
2021-01-21,1406294.052280122
2021-01-22,1373822.704787467
2021-01-25,1392033.6281474314
2021-01-27,1360200.180664972
2021-01-28,1358837.3952611152
2021-01-29,1354123.0969210186
2021-02-01,1427370.5068281642
2021-02-02,1472291.6930520495
2021-02-03,1501733.6296457942
2021-02-04,1528464.0551458267
2021-02-05,1538571.450931949
2021-02-08,1560036.4236788189
2021-02-09,1558485.3149788012
2021-02-10,1558424.3694748913
2021-02-11,1553874.2628039927
2021-02-12,1539201.1498371323
2021-02-15,1539225.88034387
2021-02-16,1551510.323893592
2021-02-17,1560701.0264738258
2021-02-18,1582467.5961716997
2021-02-19,1556588.4903750338
2021-02-22,1539951.406402081
2021-02-23,1562177.4334023937
2021-02-24,1582217.3333507315
2021-02-25,1630763.8385176733
2021-02-26,1573848.2123710916
2021-03-01,1606790.172012149
2021-03-02,1627590.619303839
2021-03-03,1651467.0521740147
2021-03-04,1638760.4911480607
2021-03-05,1617306.118067724
2021-03-08,1630454.0651154332
2021-03-09,1633103.1166412802
2021-03-10,1656024.0796222074
2021-03-12,1642189.927018161
2021-03-15,1628535.103495473
2021-03-16,1628603.820311074
2021-03-17,1598857.0164376404
2021-03-18,1587662.6060800694
2021-03-19,1597019.6049574772
2021-03-22,1603668.3810270708
2021-03-23,1607749.8898198702
2021-03-24,1579554.2332765248
2021-03-25,1552724.347156436
2021-03-26,1576660.0099820453
2021-03-30,1604649.1323288751
2021-03-31,1603382.9250539825
2021-04-01,1629360.8257825228
2021-04-05,1608344.1031844295
2021-04-06,1606960.8822542909
2021-04-07,1624365.335159951
2021-04-08,1614980.4601871509
2021-04-09,1608652.4043315975
2021-04-12,1526898.8493576844
2021-04-13,1579331.6973824645
2021-04-15,1585970.1706599658
2021-04-16,1599022.2567453436
2021-04-19,1554903.8766097296
2021-04-20,1563676.7146311165
2021-04-22,1561449.5076807716
2021-04-23,1576158.4202737943
2021-04-26,1590332.2015107353
2021-04-27,1602484.9573641329
2021-04-28,1630517.0274641798
2021-04-29,1634132.6389334747
2021-04-30,1625514.5340293108
2021-05-03,1617025.9439170342
2021-05-04,1602360.3054569173
2021-05-05,1611802.4257187226
2021-05-06,1609868.010932951
2021-05-07,1622802.2369180259
2021-05-10,1648186.9168481175
2021-05-11,1658031.5776202339
2021-05-12,1656493.936191413
2021-05-14,1659929.4509545108
2021-05-17,1682682.498708246
2021-05-18,1722549.840014137
2021-05-19,1709622.3296931302
2021-05-20,1704117.4499171795
2021-05-21,1730065.060732683
2021-05-24,1735975.3943484675
2021-05-25,1749425.801230091
2021-05-26,1751524.651528095
2021-05-27,1760531.1243658762
2021-05-28,1755893.269344822
2021-05-31,1760534.9341232362
2021-06-01,1770842.2964803241
2021-06-02,1780755.4595652248
2021-06-03,1791719.1057216476
2021-06-04,1802203.5646271168
2021-06-07,1824196.949164244
2021-06-08,1833294.1341681182
2021-06-09,1834150.4371495391
2021-06-10,1840824.298664769
2021-06-11,1848459.0799241192
2021-06-14,1857787.2842849484
2021-06-15,1861539.273833501
2021-06-16,1855639.5138016685
2021-06-17,1861496.9972581204
2021-06-18,1846607.6271193384
2021-06-21,1848834.6351844014
2021-06-22,1862313.7470986906
2021-06-23,1855081.6641870507
2021-06-24,1879424.9673967331
2021-06-25,1881865.6518974458
2021-06-28,1883312.4797120844
2021-06-29,1872755.7620373142
2021-06-30,1872778.817871953
2021-07-01,1860941.2632212213
2021-07-02,1853632.0024550902
2021-07-05,1868377.45014982
2021-07-06,1872091.8285098434
2021-07-07,1877013.7557970316
2021-07-08,1861760.6606837232
2021-07-09,1858053.3671756147
2021-07-12,1869022.141534179
2021-07-13,1887790.3100213534
2021-07-14,1888729.3859058311
2021-07-15,1880434.1165020831
2021-07-16,1884963.871501538
2021-07-19,1871539.7918338696
2021-07-20,1872422.3098262455
2021-07-22,1881900.7852024573
2021-07-23,1885296.2653369003
2021-07-26,1887835.7644981702
2021-07-27,1878263.580106021
2021-07-28,1875664.2259701863
2021-07-29,1882262.1581438016
2021-07-30,1903954.7397156376
2021-08-02,1921144.6495068828
2021-08-03,1948840.4543166095
2021-08-04,1943510.7211157186
2021-08-05,1933057.785879576
2021-08-06,1936510.4780106947
2021-08-09,1933436.0152428756
2021-08-10,1926454.0610624205
2021-08-11,1919894.457242544
2021-08-12,1931004.8259628038
2021-08-13,1953017.561671879
2021-08-16,1946489.4434874158
2021-08-17,1970379.314032012
2021-08-18,1979091.3452167388
2021-08-20,1971752.9141843936
2021-08-23,1954369.902676868
2021-08-24,1970494.2202427988
2021-08-25,1963164.7479572713
2021-08-26,1965478.859370607
2021-08-27,1969117.8880485166
2021-08-30,2002150.3821774109
2021-08-31,2034007.9990830976
2021-09-01,2040687.5301372514
2021-09-02,2045128.144633302
2021-09-03,2061258.7015816693
2021-09-06,2075606.3261429132
