Date,AXISBANK,ITC,NTPC,RELIANCE,SBILIFE,TCS
2024-06-19,0.0,0.21654195091944212,0.13908327097373546,0.20187394463445466,0.22387560669882922,0.21901027910187765
2024-06-20,0.0,0.2163232666140162,0.1371971844113834,0.20391932831088452,0.22480747591321723,0.21813772626933828
2024-06-21,0.0,0.21466313564013845,0.13817044586762495,0.2014375528242736,0.22638683062411472,0.21972743076911044
2024-06-24,0.0,0.21658866854976722,0.13932432669427994,0.1997049700251895,0.22465803665093434,0.22010945192345333
2024-06-25,0.0,0.2157891144404238,0.13808293377946734,0.20071730374509106,0.22525386249170154,0.22054081645375254
2024-06-26,0.0,0.21408819667116125,0.1383765539928736,0.2070167448803545,0.22144159719101167,0.21945732697888293
2024-06-27,0.0,0.21194337161535107,0.14098221720366896,0.20637640269055577,0.22026205007523636,0.22081110682476682
2024-06-28,0.0,0.21003947726498995,0.14039122246632302,0.20952402652523586,0.22290100770775786,0.217516656956675
2024-07-01,0.0,0.2112959655541991,0.136685831795768,0.20803861582993663,0.22353905288077522,0.2208115290461828
2024-07-02,0.0,0.37008717022988885,0.0,0.25053582385978795,0.0,0.3798081552180157
2024-07-03,0.0,0.37421990521270304,0.0,0.24962719981612216,0.0,0.37658600880128307
2024-07-04,0.0,0.3725643976028042,0.0,0.24834411709939372,0.0,0.3795219292861364
2024-07-05,0.0,0.37332577658693633,0.0,0.25169375405188077,0.0,0.3754072177023703
2024-07-08,0.0,0.37857149342551166,0.0,0.2514334462473689,0.0,0.37041809854707697
2024-07-09,0.0,0.3842167257356466,0.0,0.2484484944168879,0.0,0.3677555887475266
2024-07-10,0.0,0.38670790775127895,0.0,0.24974262584761028,0.0,0.36397408264866027
2024-07-11,0.0,0.39016038715219814,0.0,0.24745709612330596,0.0,0.362804198649278
2024-07-12,0.0,0.3802635984694401,0.0,0.2434206041830313,0.0,0.37672642481471325
2024-07-15,0.0,0.3829664678643052,0.0,0.2429255889039084,0.0,0.37451760736958206
