Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-04-17,0.0,0.0,0.04653809273344252,0.0,0.048533437484051055,0.047969990675901464,0.0
2023-04-18,0.0,0.0,0.046459573847600646,0.0,0.04892722506712337,0.04886738766722572,0.0
2023-04-19,0.0,0.0,0.04617595107406268,0.0,0.049554730198841025,0.048848811072843806,0.0
2023-04-20,0.0,0.0,0.04596924388399095,0.0,0.04940739501654757,0.0485710663924647,0.0
2023-04-21,0.0,0.0,0.04574793610272719,0.0,0.04838357260424949,0.04850063039622494,0.0
2023-04-24,0.0,0.0,0.045660290183678544,0.0,0.04785664438598921,0.04885400218502695,0.0
2023-04-25,0.0,0.0,0.04567965407591426,0.0,0.047940922724448366,0.049340037711154396,0.0
2023-04-26,0.0,0.0,0.04580449390696952,0.0,0.04709067495047093,0.04939096392421005,0.0
2023-04-27,0.0,0.0,0.0462732042243982,0.0,0.047954348063916685,0.04948965903809226,0.0
2023-04-28,0.0,0.0,0.047036900238007974,0.0,0.0475047712334854,0.050042612683418475,0.0
2023-05-01,0.0,0.0,0.04738609255662475,0.0,0.048335179296050024,0.05033004634264077,0.0
2023-05-02,0.0,0.0774271876915755,0.0,0.0774271876915755,0.0774271876915755,0.0,0.0
2023-05-08,0.0,0.07786900438504799,0.0,0.07731738545572782,0.07622948300620709,0.0,0.0
2023-05-09,0.0,0.07863581221095245,0.0,0.07840134879202687,0.07726787825699132,0.0,0.0
2023-05-10,0.0,0.07825075642107134,0.0,0.07690431953179473,0.07743223719475234,0.0,0.0
2023-05-11,0.0,0.0777540171470368,0.0,0.07804019971516545,0.0779595798529351,0.0,0.0
2023-05-12,0.0,0.07949648512886662,0.0,0.08018894737179626,0.0774626189338438,0.0,0.0
2023-05-15,0.0,0.0802466214569092,0.0,0.07901524490454369,0.07882791572880547,0.0,0.0
2023-05-16,0.0,0.08092339227534892,0.0,0.08180833939254896,0.08047517819626775,0.0,0.0
2023-05-17,0.0,0.08050825210987046,0.0,0.0841545394850075,0.08186618201715334,0.0,0.0
2023-05-18,0.0,0.08151334667900122,0.0,0.08806895684932217,0.08267730219721504,0.0,0.0
2023-05-19,0.0,0.08237129376962447,0.0,0.08883781340165957,0.08103536581539214,0.0,0.0
2023-05-22,0.0,0.08300948538885708,0.0,0.08936711146791304,0.0806533053393029,0.0,0.0
2023-05-23,0.0,0.08248534061055514,0.0,0.08735616571978758,0.08071846920093884,0.0,0.0
2023-05-24,0.0,0.08152944057900759,0.0,0.08767722056985966,0.08148409164597001,0.0,0.0
2023-05-25,0.0,0.08213842191297936,0.0,0.0901507880114101,0.0798015700435491,0.0,0.0
2023-05-26,0.0,0.08173459688750877,0.0,0.09384142224939453,0.07900429981473074,0.0,0.0
