date,cost_dollars,traded_dollars,w_AXISBANK,w_ITC,w_NTPC,w_RELIANCE,w_SBILIFE,w_TCS
2024-11-04,4898.4334039590685,8164055.673265114,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-03,6554.291970802265,10923819.951337107,0.0,0.0,0.30104890833775816,0.0,0.31538690393643737,0.3835641877258044
2025-01-02,7018.01856986167,11696697.616436116,0.31737847779294276,0.0,0.0,0.37029856329929756,0.31232295890775963,0.0
2025-02-03,585.2971133651967,975495.1889419943,0.3529166384771983,0.0,0.0,0.3407242087582222,0.3063591527645794,0.0
2025-03-04,5567.197155670225,9278661.926117042,0.21821995079717982,0.219157000849041,0.15977852002063697,0.0,0.20622710420048052,0.19661742413266178
2025-04-02,8159.824323739564,13599707.206232606,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-05,11053.651242389202,18422752.070648666,0.0,0.0,0.0,0.5,0.0,0.5
2025-06-03,5779.803150539485,9633005.25089914,0.0,0.32295091172867235,0.2087766021233055,0.21120123019115145,0.0,0.25707125595687075
2025-07-02,2827.4303294451793,4712383.882408632,0.0,0.40006572115662176,0.3289250650691974,0.2710092137741809,0.0,0.0
2025-08-04,3126.810894290243,5211351.4904837385,0.0,0.38214074457913316,0.33079993833825727,0.0,0.0,0.2870593170826096
2025-09-02,7220.383427470594,12033972.379117656,0.2968362827650604,0.0,0.39401183150888963,0.30915188572605,0.0,0.0
2025-10-03,5668.703388222444,9447838.980370738,0.2324838509638444,0.0,0.0,0.2683623220029221,0.27209742507029194,0.2270564019629416
2025-11-04,2736.6781454464576,4561130.242410762,0.0,0.0,0.0,0.35151760310907326,0.3578613169636019,0.29062107992732483
2025-12-02,4462.621085728651,7437701.809547752,0.3258761711187886,0.0,0.0,0.0,0.36756235885900296,0.30656147002220846
2026-01-02,3603.1404098016646,6005234.016336108,0.211353746462303,0.0,0.2799075013066004,0.0,0.26625599514335196,0.24248275708774444
2026-02-03,4985.376281147524,8308960.468579206,0.16400730774557068,0.15737792026252875,0.1994980531020257,0.21656131776151302,0.26255540112836173,0.0
2026-03-04,10167.616149722513,16946026.916204188,0.0,0.0,0.0,1.0,0.0,0.0
2026-04-02,10626.383858951132,17710639.76491855,0.1392879729692185,0.1840697916648006,0.16673880376984743,0.1733759875229389,0.1852553932270885,0.15127205084610615
